"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Funding Details","Editors","Publisher","PubMed ID","Document Type","Publication Stage","Open Access","Source","EID"
"Larke J.A.; Lemay D.G.","Larke, Jules A. (57204783220); Lemay, Danielle G. (8898042700)","57204783220; 8898042700","Machine Learning With Ingredient-Level Food Trees Reveals Contributors to Systemic Inflammation Among Adults in the National Health and Nutrition Examination Survey, 2001-2010 and 2015-2018","2025","Journal of the Academy of Nutrition and Dietetics","125","11","","1664","1677.e7","1","10.1016/j.jand.2025.05.012","https://www.scopus.com/pages/publications/105009921889?origin=resultslist","Background: Methods for modeling the relationship between self-reported 24-hour dietary recalls and health outcomes are traditionally based on nutrients and/or dietary patterns. Machine learning (ML), combined with hierarchical representations of diet, may help improve estimates of health and identify specific foods associated with diet-induced inflammation. Objective: The aim of this study was to assess the accuracy of estimating systemic inflammation from hierarchically arranged ingredient-level diets in a large US cohort. Design: This was a cross-sectional analysis using data on US adults from the National Health and Nutrition Examination Survey 2001-2010 and 2015-2018 cycles. Participants and setting: The continuous National Health and Nutrition Examination Survey data representing adult men and women who completed 1 or more 24-hour dietary recalls with an energy intake between 500 and 4500 kcal/day had no active infection or acute phase response, and measurement of serum C-reactive protein (CRP) level (N = 19 460). Main outcome measures: The main outcome measure was classification accuracy for predicting high and low inflammation based on the top and bottom tertiles of CRP level. Statistical analyses performed: Mixed meal disaggregation was performed to generate an ingredient-level representation of diet that was further annotated to produce a hierarchical data structure, or food tree. Hierarchical feature engineering selected the most informative food tree features for predicting systemic inflammation (ie, CRP level). ML models were used to assess the accuracy of predicting CRP level from the food tree features compared with the Dietary Inflammatory Index (DII) score. Logistic regression was used to calculate the marginal effects of ingredients identified from ML models. Results: Representation of diet as an ingredient-level food tree reduced dietary features from 6412 unique foods to 566 unique ingredients. ML classifiers trained on food tree data predicted high vs low systemic inflammation (CRP level tertile) with similar accuracy (0.761) on never-seen data compared with models trained using DII scores (0.757) (McNemar test P = .5). Individual dietary components revealed contributions toward increased inflammation, including fruit punch, soda, and high-fat milk (marginal effects: 0.001 to 0.005; P < .05), and foods associated with decreased inflammation such as herbal tea, brewed espresso, decaf coffee, brown rice, and dry pasta (marginal effects: –0.08 to –0.001; P < .05). Conclusions: Specific ingredients, selected from a food tree, performed as well as the DII in predicting systemic inflammation. Choice of common foods and beverages associated with inflammation varied in magnitude and direction, consistent with previous studies that have demonstrated pro- and anti-inflammatory responses to these dietary components. © 2025","Bioinformatics; Epidemiology; Food informatics; Inflammation; Machine learning","Adult; C-Reactive Protein; Cross-Sectional Studies; Diet; Female; Humans; Inflammation; Machine Learning; Male; Middle Aged; Nutrition Surveys; United States; C reactive protein; adult; adverse event; blood; cross-sectional study; diet; epidemiology; etiology; female; human; inflammation; machine learning; male; middle aged; nutrition; United States","","","Elsevier B.V.","40446924","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105009921889"
"Huang L.; Chen Y.; Wang J.; Cheng Z.; Tao L.; Zhou H.; Xu J.; Yao M.; Liu M.; Chen T.","Huang, Lin (56205589300); Chen, Yangfan (58077945800); Wang, Jianbo (58079457600); Cheng, Zhandong (58078952600); Tao, Lei (58078702900); Zhou, Huamao (23471572600); Xu, Jiang (57145035600); Yao, Mingyin (26422695500); Liu, Muhua (8878484500); Chen, Tianbing (55943595700)","56205589300; 58077945800; 58079457600; 58078952600; 58078702900; 23471572600; 57145035600; 26422695500; 8878484500; 55943595700","Online identification and classification of Gannan navel oranges with Cu contamination by LIBS with IGA-optimized SVM","2023","Analytical Methods","15","6","","738","745","11","10.1039/d2ay01874h","https://www.scopus.com/pages/publications/85146894480?origin=resultslist","Elements such as minerals and heavy metals play important roles in the nutrition and safety of agricultural products. It is necessary to develop rapid, online, real-time and in situ methods for monitoring the substances in farm products. Gannan navel oranges are a unique variety of fruit, which may be affected by Cu pollution due to abundant copper mines and other factors. An online identification and classification system based on laser-induced breakdown spectroscopy (LIBS) was developed to detect possible Cu residue in Gannan navel oranges. First, transmission and classification equipment for Gannan navel oranges was built. Second, an LIBS detection module was designed. Finally, a software system for the whole online detection platform was developed based on the C# programming language. The series of operations for the online detection system, which includes the loading, transmission, detection and classification of orange samples, can be controlled. Since the navel orange has an elliptical shape, the LIBS detection module was designed with a long focal length to reduce the influence of fruit plane size fluctuation. The long focal length was optimized to 698 mm, and the depth of field was ±6 mm. Furthermore, a parameter optimization model using a support vector machine (SVM) based on an improved genetic algorithm (IGA) is proposed to improve the classification effect of Gannan navel oranges. This model avoids the over-learning or under-learning caused by improper parameter selection in the regression prediction of SVM. The IGA is used to optimize the penalty parameter c and the kernel parameter g of SVM. LIBS spectral data from two types of navel orange samples with and without Cu contamination were selected as test datasets, and the classification results were compared with those of the standard genetic algorithm-support vector machine (GA-SVM). The investigation showed that the IGA-SVM can provide better classification of navel oranges based on analysis of the LIBS spectral data, and the classification accuracy can reach 98%, which provides significant guidance for the use of LIBS to quickly realize online screening of heavy metals in agriculture products. © 2023 The Royal Society of Chemistry.","","Citrus sinensis; Immunoglobulin A; Metals, Heavy; Spectrum Analysis; Support Vector Machine; Atomic emission spectroscopy; Citrus fruits; Classification (of information); Copper mines; Genetic algorithms; Heavy metals; Laser induced breakdown spectroscopy; heavy metal; immunoglobulin A; Detection modules; Genetic algorithm support vector machines; Laserinduced breakdown spectroscopy (LIBS); Long focal lengths; Navel orange; On-line classification; On-line identification; Real- time; Spectral data; Support vectors machine; chemistry; procedures; spectroscopy; support vector machine; sweet orange; Support vector machines","National Natural Science Foundation of China, NSFC, (32260626); Education Department of Jiangxi Province, (GJJ210421)","","Royal Society of Chemistry","36655675","Article","Final","","Scopus","2-s2.0-85146894480"
"Nachtigall L.G.; Araujo R.M.; Nachtigall G.R.","Nachtigall, Lucas Garcia (57193412147); Araujo, Ricardo Matsumura (8318360600); Nachtigall, Gilmar Ribeiro (14827092400)","57193412147; 8318360600; 14827092400","Use of Images of Leaves and Fruits of Apple Trees for Automatic Identification of Symptoms of Diseases and Nutritional Disorders","2019","Deep Learning and Neural Networks: Concepts, Methodologies, Tools, and Applications","","","","1072","1086","1","10.4018/978-1-7998-0414-7.ch060","https://www.scopus.com/pages/publications/105013916754?origin=resultslist","Rapid diagnosis of symptoms caused by pest attack, diseases and nutritional or physiological disorders in apple orchards is essential to avoid greater losses. This paper aimed to evaluate the efficiency of Convolutional Neural Networks (CNN) to automatically detect and classify symptoms of diseases, nutritional deficiencies and damage caused by herbicides in apple trees from images of their leaves and fruits. A novel data set was developed containing labeled examples consisting of approximately 10,000 images of leaves and apple fruits divided into 12 classes, which were classified by algorithms of machine learning, with emphasis on models of deep learning. The results showed trained CNNs can overcome the performance of experts and other algorithms of machine learning in the classification of symptoms in apple trees from leaves images, with an accuracy of 97.3% and obtain 91.1% accuracy with fruit images. In this way, the use of Convolutional Neural Networks may enable the diagnosis of symptoms in apple trees in a fast, precise and usual way. © 2020 by IGI Global. All rights reserved.","","Automatic identification; Convolution; Convolutional neural networks; Deep learning; Diagnosis; Diseases; Forestry; Image classification; Labeled data; Learning algorithms; Learning systems; Nutrition; Orchards; Trees (mathematics); Apple fruits; Apple orchards; Apple trees; Automatic identification; Classifieds; Convolutional neural network; Data set; Machine-learning; Nutritional disorders; Physiological disorders; Fruits","","","CRC Press","","Book chapter","Final","","Scopus","2-s2.0-105013916754"
"Islam M.; Islam M.; Suny A.; Al Rafi A.; Chowdhury A.; Islam M.M.; Masum S.; Ali M.S.; Jabid T.; Rasel M.M.K.","Islam, Maheen (55468841100); Islam, Mujahidul (57223252187); Suny, Alfe (58025240800); Al Rafi, Abdullah (59981679600); Chowdhury, Abdullahi (57191412583); Islam, Mohammad Manzurul (58154081100); Masum, Saleh (59321238200); Ali, Md Sawkat (57212626605); Jabid, Taskeed (24779227800); Rasel, Md Mostofa Kamal (56337492600)","55468841100; 57223252187; 58025240800; 59981679600; 57191412583; 58154081100; 59321238200; 57212626605; 24779227800; 56337492600","Dry fruit image classification using stacking ensemble model","2025","Journal of Agriculture and Food Research","21","","101850","","","3","10.1016/j.jafr.2025.101850","https://www.scopus.com/pages/publications/105000926663?origin=resultslist","Precise and efficient classification of dry fruit images is critical for enhancing quality control, efficiency, and safety in the agricultural and food industries. This study presents a CNN-based classification model developed to analyze a diverse dataset of dry fruit images. The dataset comprises 11,520 high-resolution images representing four varieties (raisins, cashews, almonds, and figs), each divided into three groups, resulting in twelve distinct classes. The proposed multi-step methodology covers data collection, preprocessing, augmentation, and model training. A wide range of image conditions, including variations in fruit types, shapes, colors, and lighting, facilitated comprehensive experimentation and validation using performance indicators such as accuracy. A stacking ensemble, integrating predictions from multiple models (e.g., VGG16, VGG19, ResNet50, MobileNetV1, Mo- bileNetV2, SqueezeNet, and ShuffleNet), achieved a test accuracy of 98.32 %, surpassing individual base model performances (MobileNetV2: 90.33 %, Mo- bileNetV1: 93.68 %, SqueezeNet: 96.98 %, and ShuffleNetV2: 97.79 %). These findings underscore the model's potential for real-time applications in qual-ity control, automated processing, nutritional research, and other domains, while also delineating the key components required for accurate classification. © 2025 The Authors","CNN; Dry fruits; Ensemble; Image classification; Lightweight; Machine learning; Nutrition; Stacking","","Next Generation Artificial Intelli-gence Research Lab","","Elsevier B.V.","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105000926663"
"Alam E.; Islam M.T.; Raka I.Z.; Ritu O.S.; Hossain M.S.; Rahman W.; Khan R.","Alam, Elman (59909568300); Islam, Md Tarequl (57224472976); Raka, Ishrat Zahan (58804882700); Ritu, Onamika Sarkar (59910030100); Hossain, Md Shakhawat (57216457240); Rahman, Wahidur (57202040801); Khan, Rahat (58753858800)","59909568300; 57224472976; 58804882700; 59910030100; 57216457240; 57202040801; 58753858800","Ripen banana dataset: A comprehensive resource for carbide detection and ripening stage analysis to enhance food quality and agricultural efficiency","2025","Data in Brief","60","","111659","","","2","10.1016/j.dib.2025.111659","https://www.scopus.com/pages/publications/105005827206?origin=resultslist","We introduce the “Ripen Banana” dataset, a newly developed collection featuring two distinct classes of ripen banana images: carbide and non-carbide. The dataset contains images from raw to ripe bananas that have been ripened with carbide and without carbide. The images collected from various locations in Sirajganj, Bangladesh. It contains 1404 original images and 6410 augmented images, resulting in 7814 images overall. The original images were taken against carefully selected white backgrounds. This was made it by evaluating these images for their sharpness and brightness levels to ensure they meet the quality standards that are required. After that, we organize each image into specified subfolders to ensure simple and fast access for large range of machine learning and deep learning models. This dataset offers significant opportunities for advancements in agricultural practices, nutrition and the food chain, food environment monitor, and computer vision technologies. This “Ripen Banana” dataset can be utilized to facilitate data-driven methods in food inspection, banana ripening systems, and post-harvest management. The dataset documents the stages of ripening, offering an opportunity to improve agricultural practices, improve the quality and safety of fruit production, and protect the food supply chain. The “Ripen Banana” dataset can be a valuable resource for future study in the fields of food science and nutrition, among people around machine learning background. © 2025 The Author(s)","Agricultural technology; Computer vision; Deep learning; Food quality assessment; Food ripening; Food safety; Image analysis; Image classification","Damage detection; Food microbiology; Food safety; Food security; Food storage; Food supply; Fruits; Image correlation; Photointerpretation; Agricultural technologies; Deep learning; Food quality; Food quality assessment; Food ripening; Food-safety; Image analyze; Image-analysis; Images classification; Quality assessment; Agricultural robots","","","Elsevier Inc.","","Data paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105005827206"
"Sood S.; Vyas G.; Bhulania P.","Sood, Shagun (57193135684); Vyas, Garima (56151635800); Bhulania, Paurush (56901230500)","57193135684; 56151635800; 56901230500","Analysis and Grading of Fruits based on Stages of Maturity using Computer Vision System","2018","12th INDIACom; 5th International Conference on ""Computing for Sustainable Global Development"", INDIACom 2018","","","","1233","1237","0","","https://www.scopus.com/pages/publications/105010493937?origin=resultslist","Fruits and vegetables are an essential source of food and nutrition. Since these food products are consumed directly without processing, it is necessary to ensure that they are ripe and mature, lacking defects, and are of the best quality for consumption. Hence, inspection systems are developed and implemented at the very base of the agriculture industry. This project proposes a method that inspects fruits on their level of maturity and determine if they are consumable or not using a visual inspection system. In this system, image was acquired by placing the sample in a chamber comprising of a camera and lightning system for uniform illumination. The method used to accomplish this objective involves assessing and classification into ripe or unripe categories based on the colour of the skin of the fruit. Digital Image Processing Techniques were used, exploiting the colour space properties of an image, extracting features by estimation of mean, variance, and range of distinct colour planes of an image. In this paper, Mangoes and Citrus Fruit (such as Mandarins and Oranges) were graded according to maturity level into two and three categories respectively. Machine Learning through Support Vector Machine was implemented for classification. The performance accuracy in this scheme was found to be 85.7% for Mango fruit and 100% for Citrus Fruit. Copy Right © INDIACom-2018.","classification; colour models; confusion matrix; Fruit; grading; image processing; maturity; SVM","Agricultural machinery; Citrus fruits; Color; Color image processing; Computer vision; Inspection; Inspection equipment; Learning systems; Support vector machines; Agriculture industries; Color models; Computer vision system; Confusion matrix; Consumables; Fruit and vegetables; Images processing; Inspection system; Maturity; SVM; Classification (of information)","","","Institute of Electrical and Electronics Engineers Inc.","","Conference paper","Final","","Scopus","2-s2.0-105010493937"
"Mittal M.; Dhingra G.; Kumar V.","Mittal, Manisha (59011173100); Dhingra, Gittaly (57189045990); Kumar, Vinay (8728969100)","59011173100; 57189045990; 8728969100","Machine Learning Methods Analysis for Calories Measuremnt of Fruits and Vegetables","2019","Proceedings of IEEE International Conference on Signal Processing,Computing and Control","2019-October","","8988487","212","219","2","10.1109/ISPCC48220.2019.8988487","https://www.scopus.com/pages/publications/85085528569?origin=resultslist","As people around the globe are becoming conscious about their weight, consume healthy and low-calorie food and keep away from obesity, it's an urge to establish a reliable system with high accuracy and efficiency for calorie and nutrition measurement in fruit/vegetable. The proposed model is developed to assist patients and dieticians to compute daily intake of calories. In this approach, 5 different machine learning models are used to predict classification accuracy. Our system includes camera and intelligent mat to capture the picture of the fruit/vegetable, in order to calculate the consumption of calorie. The proposed model achieves 88% accuracy with different testing-training cross validation dataset. © 2019 IEEE.","Calorie measurement; classification; feature extraction","Fruits; Machine learning; Nutrition; Statistical tests; Classification accuracy; Cross validation; Daily intake; Fruits and vegetables; High-accuracy; Machine learning methods; Machine learning models; Reliable systems; Signal processing","","Jain S.; Sood M.","Institute of Electrical and Electronics Engineers Inc.","","Conference paper","Final","","Scopus","2-s2.0-85085528569"
"Lei Y.; Zhang R.; Liu F.; Meng Z.; Song Y.; Fu C.; Liang Y.","Lei, Yicheng (59331200800); Zhang, Ruiyuan (57373060000); Liu, Fang (56061650000); Meng, Zhenqing (60060121800); Song, Yao (59272237400); Fu, Chaomei (12244793000); Liang, Ying (60059650700)","59331200800; 57373060000; 56061650000; 60060121800; 59272237400; 12244793000; 60059650700","Rapid discriminate and determination of chemical constituents of Canarii Fructus (Chinese olive) and Chebulae Fructus Immaturus using digital image-based color histograms and chemometrics","2026","Talanta","297","","128720","","","0","10.1016/j.talanta.2025.128720","https://www.scopus.com/pages/publications/105014022337?origin=resultslist","As fruit with nutritional and medicinal value, Canarii Fructus (CF) and Chebulae Fructus Immaturus (CFI) have attracted increased interest from both nutrition researchers and health-conscious consumers. Due to their similar names, comparable efficacy, and indistinguishable properties, they are often confused or misused in practice. Moreover, current authentication methods remain limited by either subjective bias or complex instrumentation, impairing cost-effectiveness and scalability. Therefore, this research established a Chemometrics-assisted Digital Image-based Analytical System (CADIAS), a simple, cost-effective, and environmentally-friendly non-destructive analytical tool to identify them. In this study, Data-Driven Soft Independent Modeling of Class Analogy (DD-SIMCA) was used to authenticate their category, recognizing correctly all CF and CFI fruits. For the total polyphenols and total flavonoids, partial least squares obtained satisfactory predictive abilities (Rˆ2 Pred >0.88). CADIAS was proven to be applied for fruit variety authentication and quality control helping cultivar authenticity for commerce. And the applicability of the method for fast Fisher discriminant analysis and quantitative analysis was validated. © 2025 Elsevier B.V.","Authentication; Canarii fructus; Chebulae Fructus Immaturus; Color histogram; Multivariate calibration","Chemometrics; Color; Discriminant Analysis; Flavonoids; Fruit; Plant Extracts; Polyphenols; Terminalia; Cost effectiveness; Discriminant analysis; Fisher information matrix; Flavonoids; Fruits; Graphic methods; Medicinal chemistry; Nutrition; Plants (botany); Quality control; flavonoid; phenol; polyphenol; chebulae fruit; flavonoid; plant extract; polyphenol; Analytical systems; Canarii fructi; Chebulae fructi immaturus; Chemical constituents; Chemometrices; Chinese olive; Color-histograms; Digital image; Image-based; Multivariate calibration; algorithm; Article; artificial intelligence; calibration; Canarii Fructus; Chebulae Fructus Immaturus; chemical composition; chemometrics; Chinese medicine; classification; commercial phenomena; controlled study; cost effectiveness analysis; cultivar; diagnostic test accuracy study; discriminant analysis; Folin Ciocalteu method; frequency analysis; fruit; high performance liquid chromatography; histogram; learning algorithm; machine learning; measurement accuracy; methodology; multivariate analysis; nonhuman; predictive model; principal component analysis; quality control; quantitative analysis; sensitivity and specificity; training; chemistry; color; fruit; procedures; Terminalia; Authentication","Chengdu University of Traditional Chinese Medicine, (LH202402047); Chengdu University of Traditional Chinese Medicine","","Elsevier B.V.","40857766","Article","Final","","Scopus","2-s2.0-105014022337"
"Hrithik A.K.; Kumar V.","Hrithik, Aaryan Kumar (58121606800); Kumar, Vipin (59240294400)","58121606800; 59240294400","Classification of Fruit Plants Leaf and Comparative Analysis of Machine Learning Algorithms","2023","14th International Conference on Advances in Computing, Control, and Telecommunication Technologies, ACT 2023","2023-June","","","2036","2044","0","","https://www.scopus.com/pages/publications/85174390392?origin=resultslist","The plant leaf is one of the information any plant can identify. But without an expert, finding the type of plant is challenging. The fruits plants are significant for the human to get proper nutrition. Therefore, automatic fruit plant detection is highly required and can be accomplished using image processing techniques. In this research, the authors collected 28 categories of fruit plant leaves (i.e., 10226 RGB images) leaves using a smartphone device, and a comparative analysis has been done for the classification of the leaf of the fruit plant using multiple machine learning (M.L.) models, i.e., Logistic Regression (L.R.), K-Nearest Neighbors (KNN), Support Vector Machine (SVM), Decision tree (D.T.), Multi-layer Perceptron (MLP), and Naive Bayes (N.B.). The performance analysis has concluded that MLP has performed better than other classifiers, i.e., 93.18%. © Grenze Scientific Society, 2023.","Computer vision; Fruit Plant Leaf; Image Classification; Machine Learning; Pattern Recognition","Computer vision; Decision trees; Image analysis; Image classification; Learning algorithms; Learning systems; Nearest neighbor search; Plants (botany); Support vector machines; Comparative analyzes; Expert finding; Fruit plant leaf; Image processing technique; Images classification; Machine learning algorithms; Machine-learning; Multilayers perceptrons; Plant detections; Plant leaves; Fruits","","Stephen J.; Sharma P.; Chaba Y.; Abraham K.U.; Anooj P.K.; Mohammad N.; Universiti Kebangsaan Malaysia, 43600 UKM, Bangi Selangor; Thomas G.; Srikiran S.","Grenze Scientific Society","","Conference paper","Final","","Scopus","2-s2.0-85174390392"
"Sun G.; Chen S.; Hu T.; Zhang S.; Li H.; Li A.; Zhao L.; Liu J.","Sun, Guangzhao (57205715180); Chen, Shuaihong (57203814350); Hu, Tiantian (55669663900); Zhang, Shaowu (57219435830); Li, Hui (59890209200); Li, Aoqi (58680910700); Zhao, Lu (58680910800); Liu, Jie (57053566900)","57205715180; 57203814350; 55669663900; 57219435830; 59890209200; 58680910700; 58680910800; 57053566900","Identifying optimal ground feature classification and assessing leaf nitrogen status based on UAV multispectral images in an apple orchard","2025","Plant and Soil","511","1","","733","752","5","10.1007/s11104-024-07017-7","https://www.scopus.com/pages/publications/85207007326?origin=resultslist","Aims: In the case of uneven vegetation coverage, it is still facing many problems that using UAV-remote sensing to assess the canopy nutrient status. The research objective is to determine the optimal ground feature classification and establish the leaf nitrogen concentration (LNC) inversion model. Methods: UAV‑Phantom 4 multispectral platform was used to acquire apple orchard images. The ground features of remote sensing image were classified with the minimum distance, maximum likelihood, and object-oriented feature extraction classifications (MDC, MLC, OFEC), while spectral vegetation indices were used to perform LNC inversion using the backpropagation neural network (BP) and extreme learning machine (ELM). Further, genetic algorithm (GA) and particle swarm optimization (PSO) were used to optimize two inversion models. Results: Compared with the MDC, the overall accuracy of MLC increased 20.30% and 26.69% in 2021 and 2022, while the OFEC increased 30.48% and 31.04%, respectively. The LNC inversion model of BP and ELM produced an acceptable performance (R2c > R2p > 0.60, RRMSE < 15%). The use of GA and PSO algorithms did not improve the prediction performance of the BP inversion model. Compared with ELM, the RRMSE of GA_ELM and PSO_ELM inversion models decreased 2.63% and 20.39%. Furthermore, the PSO_ELM inversion model decreased the RRMSE 10.95% compared to the BP model. Conclusion: The combination of reverse thinking iterative approach with the PSO algorithm significantly enhances the predictive performance of the ELM inversion model, which can present a rapid assessment method for leaf nitrogen nutrition diagnosis based on the relationship between LNC and fruit yield. © The Author(s), under exclusive licence to Springer Nature Switzerland AG 2024.","Apple trees; Foliar nitrogen; Optimization algorithm; UAV-remote sensing; Vegetation index","genetic algorithm; leaf morphology; multispectral image; nitrogen; optimization; orchard; remote sensing; unmanned vehicle; vegetation index","National Key Research and Development Program of China, NKRDPC, (2017YFD0201508); National Key Research and Development Program of China, NKRDPC","","Springer Science and Business Media Deutschland GmbH","","Article","Final","","Scopus","2-s2.0-85207007326"
"Kumbhar D.; Patil S.","Kumbhar, Diptee (57212140611); Patil, Sarita (57208826761)","57212140611; 57208826761","Mobile cloud based system recognizing nutrition and freshness of food image","2018","2017 International Conference on Energy, Communication, Data Analytics and Soft Computing, ICECDS 2017","","","","709","714","6","10.1109/ICECDS.2017.8389528","https://www.scopus.com/pages/publications/85050084944?origin=resultslist","As people across the globe are becoming more interested in watching their weight, eating healthier and avoiding obesity, a system that can measure calories and nutrition in every day meals can be very useful. As well as mobile-based applications have become ubiquitous in numerous aspects of people's lives over the past few years. Harnessing the capability of this trend for healthcare purposes has become a focal point for researchers and industry, in specific designing applications that can be utilized by patients as a major aspect of their wellness, prevention, or treatment process. Along the way, mobile cloud computing (MCC) has been introduced to be a potential paradigm for mobile health services to overcome the interoperability issues over distinctive information formats. In this paper, we propose a mobile cloud-based food calorie measurement framework. Our framework provides clients with advantageous and intelligent mechanisms that permit them to track their food intake and monitor their calorie count. The food recognition technique in our system uses Naive Bayes training mechanism in a cloud computing environment with classifier machine learning. Also this system checks the freshness of the fruit, by using the image processing techniques. This system improves the accuracy of calories consumption measurement process. © 2017 IEEE.","Classification; Cloud Computing; Food recognition; Segmentation","Classification (of information); Cloud computing; Image processing; Image segmentation; Interoperability; Learning systems; Nutrition; Patient treatment; Soft computing; Cloud computing environments; Consumption measurement; Food recognition; Image processing technique; Information format; Intelligent mechanisms; Mobile Cloud Computing (MCC); Treatment process; Mobile cloud computing","","","Institute of Electrical and Electronics Engineers Inc.","","Conference paper","Final","","Scopus","2-s2.0-85050084944"
"Praharsha C.H.; Poulose A.; Badgujar C.","Praharsha, Chittathuru Himala (59241739900); Poulose, Alwin (57205504085); Badgujar, Chetan (57546734700)","59241739900; 57205504085; 57546734700","Comprehensive Investigation of Machine Learning and Deep Learning Networks for Identifying Multispecies Tomato Insect Images","2024","Sensors","24","23","7858","","","13","10.3390/s24237858","https://www.scopus.com/pages/publications/85211813622?origin=resultslist","Deep learning applications in agriculture are advancing rapidly, leveraging data-driven learning models to enhance crop yield and nutrition. Tomato (Solanum lycopersicum), a vegetable crop, frequently suffers from pest damage and drought, leading to reduced yields and financial losses to farmers. Accurate detection and classification of tomato pests are the primary steps of integrated pest management practices, which are crucial for sustainable agriculture. This paper explores using Convolutional Neural Networks (CNNs) to classify tomato pest images automatically. Specifically, we investigate the impact of various optimizers on classification performance, including AdaDelta, AdaGrad, Adam, RMSprop, Stochastic Gradient Descent (SGD), and Nadam. A diverse dataset comprising 4263 images of eight common tomato pests was used to train and evaluate a customized CNN model. Extensive experiments were conducted to compare the performance of different optimizers in terms of classification accuracy, convergence speed, and robustness. RMSprop achieved the highest validation accuracy of 89.09%, a precision of 88%, recall of 85%, and F1 score of 86% among the optimizers, outperforming other optimizer-based CNN architectures. Additionally, conventional machine learning models such as logistic regression, random forest, naive Bayes classifier, support vector machine, decision tree classifier, and K-nearest neighbors (KNN) were applied to the tomato pest dataset. The best optimizer-based CNN architecture results were compared with these machine learning models. Furthermore, we evaluated the cross-validation results of various optimizers for tomato pest classification. The cross-validation results demonstrate that the Nadam optimizer with CNN outperformed the other optimizer-based approaches and achieved a mean accuracy of 79.12% and F1 score of 78.92%, which is 14.48% higher than the RMSprop optimizer-based approach. The state-of-the-art deep learning models such as LeNet, AlexNet, Xception, Inception, ResNet, and MobileNet were compared with the CNN-optimized approaches and validated the significance of our RMSprop and Nadam-optimized CNN approaches. Our findings provide insights into the effectiveness of each optimizer for tomato pest classification tasks, offering valuable guidance for practitioners and researchers in agricultural image analysis. This research contributes to advancing automated pest detection systems, ultimately aiding in early pest identification and proactive pest management strategies in tomato cultivation. © 2024 by the authors.","convolution neural network; deep learning; integrated pest management; machine learning; optimizers; pest detection systems; pest monitoring; smart agriculture","Agriculture; Algorithms; Animals; Deep Learning; Image Processing, Computer-Assisted; Insecta; Machine Learning; Neural Networks, Computer; Solanum lycopersicum; Adaptive boosting; Adversarial machine learning; Benchmarking; Convolutional neural networks; Deep neural networks; Fertilizers; Logging (forestry); Logistic regression; Risk analysis; Support vector machines; Convolution neural network; Convolutional neural network; Deep learning; Detection system; Integrated Pest Management; Machine-learning; Optimizers; Pest detection system; Pest monitoring; Smart agricultures; agriculture; algorithm; animal; artificial neural network; deep learning; growth, development and aging; image processing; insect; machine learning; parasitology; physiology; procedures; tomato; Fruits","University of Tennessee, UT","","Multidisciplinary Digital Publishing Institute (MDPI)","39686395","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85211813622"
"Shahakar S.; Chopde P.; Purohit N.; Vishwakarma A.; Nite A.; Sharma A.K.","Shahakar, Sahil (58250910700); Chopde, Priyal (6506039294); Purohit, Neha (57289743900); Vishwakarma, Anushka (58250479500); Nite, Aditi (58251761100); Sharma, Ashish K (57214355838)","58250910700; 6506039294; 57289743900; 58250479500; 58251761100; 57214355838","A Novel Machine Learning and Deep Learning Driven Prediction for Pre-diabetic Patients","2023","2023 6th International Conference on Information Systems and Computer Networks, ISCON 2023","","","","","","13","10.1109/ISCON57294.2023.10112131","https://www.scopus.com/pages/publications/85159500144?origin=resultslist","Of late there has been a considerable rise in pre-diabetic patients. Pre-diabetic patients need to keep a watchful eye on their sugar intake to avoid blood sugar spikes. Fruit is an important source of vitamins, minerals, and fiber. However, fruit can also be high in sugar. Thus it is strongly needed to check if the fruit is safe for consumption from the blood sugar perspective. The Glycemic Index (GI) is a measure of the rise in blood sugar levels after eating a particular food. Blood sugar spike is caused by the rapid absorption of sugar into the bloodstream, which can be slowed down by consuming dietary fiber along with the fruit. This research proposes a Machine Learning and Deep Learning based prediction model that can predict the glycemic index of fruits using images, and suggest if the fruit is safe for consumption. For image recognition and classification it uses Convolutional Neural Network (CNN). In addition, it provides the user with food recommendation with high dietary fiber to create balanced diet if necessary. . © 2023 IEEE.","CNN; Deep Learning; Fruit; Glycemic Index; Machine Learning; Pre-diabetic Patients; Prediction","Blood; Convolutional neural networks; Deep learning; Fruits; Glucose; Image recognition; Nutrition; Blood sugar levels; Blood sugars; Convolutional neural network; Deep learning; Diabetics patients; Dietary fibre; Glycemic index; Machine-learning; Pre-diabetic patient; Prediction modelling; Forecasting","","","Institute of Electrical and Electronics Engineers Inc.","","Conference paper","Final","","Scopus","2-s2.0-85159500144"
